"MacroTrends Data Download"
"ATVI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1995-03-22,0.4569,0.4664,0.4569,0.4664,3204
1995-03-23,0.5117,0.5117,0.4569,0.4569,803400
1995-03-24,0.4664,0.4752,0.4386,0.4386,502404
1995-03-27,0.4386,0.4752,0.4386,0.4752,55596
1995-03-28,0.4386,0.4934,0.4386,0.4752,214404
1995-03-29,0.4386,0.4664,0.4291,0.4291,1396404
1995-03-30,0.4569,0.4752,0.4291,0.4291,65196
1995-03-31,0.4752,0.4752,0.4386,0.4386,53196
1995-04-03,0.4481,0.4481,0.4386,0.4386,62004
1995-04-04,0.4386,0.4752,0.4386,0.4569,93000
1995-04-05,0.4569,0.4664,0.4386,0.4481,329604
1995-04-06,0.4386,0.4386,0.4386,0.4386,30804
1995-04-07,0.4386,0.4386,0.4386,0.4386,74796
1995-04-10,0.4386,0.4569,0.4386,0.4386,137604
1995-04-11,0.4481,0.4752,0.4386,0.4386,1233204
1995-04-12,0.4386,0.4386,0.4386,0.4386,204
1995-04-13,0.4386,0.4569,0.4386,0.4430,40404
1995-04-17,0.4291,0.4569,0.4291,0.4569,50004
1995-04-18,0.4752,0.4752,0.4291,0.4291,458796
1995-04-19,0.4664,0.4752,0.4291,0.4664,779604
1995-04-20,0.4481,0.4664,0.4386,0.4386,273204
1995-04-21,0.4386,0.4664,0.4386,0.4664,69204
1995-04-24,0.4481,0.4569,0.4481,0.4569,957996
1995-04-25,0.4481,0.4664,0.4386,0.4386,1830600
1995-04-26,0.4481,0.4569,0.4291,0.4386,2356404
1995-04-27,0.4481,0.4481,0.4291,0.4386,1308804
1995-04-28,0.4386,0.4481,0.4291,0.4291,309204
1995-05-01,0.4386,0.4386,0.4203,0.4386,1012404
1995-05-02,0.4203,0.4386,0.4021,0.4203,45000
1995-05-03,0.4108,0.4291,0.4108,0.4291,189996
1995-05-04,0.4203,0.4247,0.4167,0.4203,782004
1995-05-05,0.4386,0.4386,0.4203,0.4386,1139400
1995-05-08,0.4386,0.4386,0.4386,0.4386,35400
1995-05-09,0.4481,0.4569,0.4386,0.4569,962004
1995-05-10,0.4481,0.4752,0.4481,0.4569,33204
1995-05-11,0.4752,0.4752,0.4481,0.4664,329604
1995-05-12,0.4839,0.4934,0.4569,0.4934,593196
1995-05-15,0.5117,0.5117,0.4934,0.4934,141000
1995-05-16,0.4752,0.5117,0.4752,0.4934,81204
1995-05-17,0.4752,0.5183,0.4752,0.5029,413004
1995-05-18,0.4752,0.5205,0.4752,0.5161,573000
1995-05-19,0.4934,0.5117,0.4752,0.4839,366804
1995-05-22,0.4752,0.4934,0.4752,0.4934,89604
1995-05-23,0.5117,0.5205,0.5029,0.5161,71604
1995-05-24,0.4752,0.4934,0.4386,0.4569,995400
1995-05-25,0.4386,0.4569,0.4386,0.4569,120396
1995-05-26,0.4481,0.4752,0.4481,0.4569,41604
1995-05-30,0.4481,0.4752,0.4481,0.4481,638004
1995-05-31,0.4569,0.4839,0.4569,0.4569,376404
1995-06-01,0.4839,0.4839,0.4752,0.4752,436404
1995-06-02,0.5029,0.5029,0.5029,0.5029,55596
1995-06-05,0.5117,0.5117,0.4752,0.4752,55596
1995-06-06,0.5205,0.5205,0.4752,0.4934,509004
1995-06-07,0.5029,0.5117,0.4752,0.4839,120396
1995-06-08,0.4752,0.5117,0.4752,0.4752,93000
1995-06-09,0.4569,0.4934,0.4569,0.4569,101196
1995-06-12,0.4752,0.4934,0.4569,0.4752,244404
1995-06-13,0.4752,0.4752,0.4569,0.4569,345804
1995-06-14,0.4934,0.4934,0.4569,0.4934,21204
